ru,en
печаль,grief
выпуск,issue
незнакомец,stranger
гром,thunder
формирование,forming
изделие,product
казнь,execution
местность,country
невроз,neurosis
прощение,forgiveness
висок,temple
банда,band
хохот,laughter
рассуждение,reasoning
траншея,trench
холл,hall
понедельник,Monday
мундир,full-dress uniform
голубчик,my dear fellow
кукла,doll
конструкция,construction
капитализм,capitalism
веко,eyelid
корпорация,corporation
поручение,commission
протест,protest
баран,ram
кличка,name
погон,should-strap
потомок,descendant
бассейн,pool
печень,liver
защитник,defender
обеспечение,provision
заслуга,merit
отвращение,aversion
строитель,builder
ось,axis
стон,moan
землянка,dug-out
хирург,surgeon
рельс,rail
изучение,study
призыв,call
быт,life
сорт,sort
пластинка,plate
брюхо,belly
стоянка,stand
правление,governing
падаль,carrion
испуг,fright
будка,kennel
постановление,decision
Рим,Rome
жилец,tenant
обсуждение,discussion
заря,daybreak
разработка,cultivation
касса,cash-desk
царство,reign
таблетка,tablet
сейф,safe
нагрузка,loading
горожанин,townsman
горечь,bitter taste
пейзаж,view
секретарша,secretary
толчок,push
визг,squeal
соединение,joining
млрд,billion
семя,seed
осёл,donkey
сетка,net
подразделение,subdivision
контракт,contract
устав,regulations
равновесие,equilibrium
том,volume
пруд,pond
плоть,flesh
дымок,puff of smoke
самоубийство,suicide
посол,ambassador
провинция,province
грань,border
публикация,publication
комар,gnat
купец,merchant
офис,office
фокус,focus
разряд,category
трещина,crack
бытие,being
Кавказ,Caucasus
кастрюля,pan
мудрость,wisdom
ведомство,department
заросль,brushwood
щенок,puppy
таблица,table
презрение,contempt / despicing scorn
гусь,goose
красавец,handsome man
делегация,delegation
чудак,crank
доза,dose
эксперт,expert
сантиметр,centimetre
трибуна,platform
ветерок,breeze
конструктор,designer
Питер,Saint Petersburg
скатерть,table-cloth
обувь,footwear
телега,cart
вал,billow
почка,bud
око,eye
ёлка,Christmas tree
паровоз,chimney
змей,serpent
па,pas
мелодия,melody
расстройство,disorder
прозвище,nickname
номенклатура,nomenclature
барьер,barrier
премьер,prime minister
плакат,placard
тоня,fishery
санитар,hospital attendant
орех,nut
обочина,side of the road
райком,district committee
расстрел,shooting
огурец,cucumber
усмешка,smile
